,hotel,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,row_id
24004,Resort Hotel,16,2016,December,50,8,0,1,1,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,0,Transient-Party,65.0,0,2,0,24004
24005,City Hotel,116,2017,June,25,18,2,2,2,0.0,0,SC,CN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,99.0,0,0,1,24005
24006,Resort Hotel,23,2016,July,30,22,0,1,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,179.0,0,0,1,24006
24007,City Hotel,63,2015,September,36,4,0,2,2,0.0,0,HB,ITA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,0,Transient-Party,116.0,0,0,0,24007
24008,City Hotel,269,2016,December,53,29,2,3,2,0.0,0,BB,SWE,Offline TA/TO,TA/TO,0,0,0,A,A,2,No Deposit,0,Transient-Party,80.0,0,0,0,24008
24009,City Hotel,16,2016,December,53,28,2,4,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,76.67,0,0,1,24009
24010,City Hotel,133,2016,May,19,4,0,4,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,116.95,0,0,1,24010
24011,Resort Hotel,6,2017,July,27,7,2,2,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,206.0,1,1,0,24011
24012,City Hotel,2,2016,May,21,15,2,2,1,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,0,Transient-Party,66.88,0,0,0,24012
24013,City Hotel,227,2017,June,22,1,0,3,3,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,157.5,0,2,0,24013
24014,City Hotel,1,2016,August,33,9,0,2,2,0.0,0,BB,ARG,Direct,Direct,0,0,0,D,D,3,No Deposit,0,Transient-Party,153.85,0,0,0,24014
24015,City Hotel,46,2015,August,34,17,1,1,2,0.0,0,BB,ESP,Groups,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,62.0,0,0,0,24015
24016,City Hotel,0,2016,December,50,6,0,1,2,2.0,0,BB,PRT,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,0,Transient,174.0,0,0,0,24016
24017,Resort Hotel,342,2016,October,42,14,2,5,2,0.0,0,BB,GBR,Groups,Direct,0,0,0,E,E,0,No Deposit,125,Transient-Party,80.81,0,0,0,24017
24018,City Hotel,38,2017,April,15,10,1,1,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,140.0,0,0,1,24018
24019,Resort Hotel,244,2015,September,36,3,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,19,0,A,A,0,Non Refund,0,Transient,36.0,0,0,1,24019
24020,City Hotel,86,2016,August,32,4,2,5,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,85.0,0,0,0,24020
24021,City Hotel,29,2017,June,23,5,1,2,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,128.47,0,0,0,24021
24022,City Hotel,0,2015,August,32,8,2,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,0,Transient,88.0,0,0,0,24022
24023,Resort Hotel,2,2015,November,46,14,4,9,2,0.0,0,HB,CZE,Direct,Direct,0,0,0,D,D,1,No Deposit,0,Transient,82.69,0,1,0,24023
24024,Resort Hotel,94,2016,April,18,29,2,3,2,0.0,0,BB,GBR,Direct,Direct,0,0,0,E,E,0,No Deposit,0,Transient,85.0,0,0,0,24024
24025,City Hotel,292,2015,August,32,5,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,0,Transient-Party,62.0,0,0,1,24025
24026,Resort Hotel,53,2015,September,40,27,3,5,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,74.2,0,1,0,24026
24027,Resort Hotel,42,2017,May,18,1,1,1,2,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,92.0,1,1,0,24027
24028,Resort Hotel,55,2015,July,30,23,0,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,135.0,0,0,1,24028
24029,Resort Hotel,13,2016,September,38,11,2,1,1,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,1,No Deposit,0,Transient,99.0,0,0,0,24029
24030,City Hotel,121,2017,May,18,6,2,1,2,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,126.0,0,2,0,24030
24031,City Hotel,52,2017,June,26,28,0,2,1,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,120.0,0,1,1,24031
24032,City Hotel,44,2016,January,1,2,2,1,1,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,1,No Deposit,0,Transient-Party,1.0,0,0,0,24032
24033,City Hotel,142,2016,April,18,29,0,2,2,0.0,0,BB,ITA,Groups,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,65.0,0,1,0,24033
24034,City Hotel,276,2016,May,20,13,2,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,160,Transient,61.0,0,0,1,24034
24035,City Hotel,38,2017,May,20,20,2,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,13,Transient-Party,90.0,0,0,1,24035
24036,City Hotel,20,2017,January,2,12,0,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,97.5,0,0,1,24036
24037,City Hotel,433,2016,September,37,8,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,70.0,0,0,1,24037
24038,City Hotel,0,2016,June,26,22,0,2,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,113.0,0,1,0,24038
24039,City Hotel,188,2016,June,25,15,0,2,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,39,Transient,130.0,0,0,1,24039
24040,City Hotel,0,2016,January,3,12,0,1,2,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,79.0,0,0,0,24040
24041,City Hotel,87,2017,August,31,3,2,5,2,0.0,0,SC,SWE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,133.29,0,1,0,24041
24042,Resort Hotel,82,2017,August,33,17,2,5,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,0,Transient,216.0,0,0,0,24042
24043,City Hotel,286,2016,May,20,11,0,4,2,0.0,0,BB,AUT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,176,Transient-Party,99.0,0,1,0,24043
24044,City Hotel,545,2017,January,1,5,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,62.0,0,0,1,24044
24045,City Hotel,189,2017,May,18,5,1,2,2,0.0,0,BB,FRA,Groups,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,100.0,0,1,0,24045
24046,City Hotel,16,2015,September,38,16,0,4,2,0.0,0,BB,GBR,Direct,Direct,0,0,0,A,E,0,No Deposit,0,Transient,114.5,0,1,0,24046
24047,City Hotel,90,2017,May,18,6,2,1,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,135.0,0,1,0,24047
24048,Resort Hotel,95,2016,April,18,26,0,3,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,39.95,0,0,0,24048
24049,City Hotel,9,2016,April,18,29,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,110.0,0,0,0,24049
24050,Resort Hotel,219,2017,July,30,24,1,4,2,1.0,0,Undefined,PRT,Direct,Direct,0,0,0,A,A,3,No Deposit,0,Transient,249.38,1,0,0,24050
24051,Resort Hotel,129,2016,September,37,10,2,2,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,0,Transient,133.2,0,0,1,24051
24052,City Hotel,51,2017,June,25,20,0,2,2,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,0,Transient,240.0,0,1,1,24052
24053,City Hotel,60,2017,May,18,6,0,1,1,0.0,0,SC,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,126.0,0,0,1,24053
24054,City Hotel,164,2015,October,40,2,0,2,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,100.0,0,0,0,24054
24055,City Hotel,34,2016,October,41,2,2,2,1,0.0,0,BB,CHN,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,139.5,0,1,1,24055
24056,Resort Hotel,10,2016,February,9,25,1,3,2,0.0,0,BB,GBR,Online TA,TA/TO,1,0,1,D,D,0,No Deposit,0,Group,58.0,0,1,0,24056
24057,City Hotel,444,2016,December,49,1,0,3,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,39,Transient,75.0,0,0,1,24057
24058,City Hotel,72,2015,October,44,28,0,3,2,0.0,0,BB,ISR,Groups,TA/TO,0,0,0,A,D,0,No Deposit,58,Transient-Party,85.67,0,0,0,24058
24059,City Hotel,33,2016,April,18,29,2,2,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,140.4,0,1,0,24059
24060,Resort Hotel,95,2015,August,33,10,2,5,4,0.0,0,BB,PRT,Direct,Direct,0,0,0,H,H,0,No Deposit,0,Transient,190.0,0,0,1,24060
24061,City Hotel,74,2015,September,38,18,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient-Party,101.5,0,0,1,24061
24062,Resort Hotel,35,2016,February,9,26,1,2,2,2.0,0,BB,ESP,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,0,Transient,76.0,0,0,0,24062
24063,City Hotel,178,2016,September,37,9,0,2,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,135.0,0,0,1,24063
24064,City Hotel,444,2016,December,49,1,0,3,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,39,Transient,75.0,0,0,1,24064
24065,Resort Hotel,187,2016,May,19,2,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,52.2,0,1,1,24065
24066,City Hotel,102,2016,October,41,2,2,1,2,0.0,0,SC,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,108.0,0,1,0,24066
24067,City Hotel,134,2016,May,21,17,0,3,1,0.0,0,SC,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,94.5,0,0,1,24067
24068,City Hotel,153,2016,July,31,30,2,5,1,1.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,101.35,0,1,0,24068
24069,City Hotel,270,2017,March,12,23,0,3,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,90.0,0,3,1,24069
24070,City Hotel,37,2016,August,35,22,1,2,2,2.0,0,BB,FRA,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,0,Transient,207.9,0,2,1,24070
24071,City Hotel,247,2017,August,31,1,0,4,2,0.0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,89.1,0,1,1,24071
24072,City Hotel,1,2015,September,36,1,0,1,1,0.0,0,BB,PRT,Complementary,Direct,0,0,0,A,A,0,No Deposit,0,Transient,0.0,0,1,0,24072
24073,Resort Hotel,193,2016,May,21,20,2,6,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,0,Transient,50.02,0,1,0,24073
24074,Resort Hotel,191,2016,December,52,23,2,4,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,0,Transient-Party,39.8,0,2,0,24074
24075,City Hotel,5,2015,September,36,2,0,1,2,0.0,0,BB,PRT,Offline TA/TO,Direct,1,0,1,A,B,0,No Deposit,0,Transient-Party,12.0,0,1,0,24075
24076,Resort Hotel,4,2017,January,2,14,0,1,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,D,0,No Deposit,0,Transient-Party,100.0,0,1,0,24076
24077,City Hotel,153,2016,October,44,27,0,1,2,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,80.1,0,2,1,24077
24078,Resort Hotel,147,2015,September,37,10,2,5,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,0,Contract,70.48,0,0,1,24078
24079,City Hotel,64,2016,May,21,17,0,2,2,0.0,0,BB,PRT,Corporate,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,140.0,0,0,1,24079
24080,City Hotel,19,2016,June,26,20,1,1,1,0.0,0,BB,BEL,Corporate,Corporate,1,0,1,A,A,0,No Deposit,0,Transient,95.0,0,0,0,24080
24081,Resort Hotel,68,2015,August,33,15,2,5,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,135.0,0,0,1,24081
24082,Resort Hotel,124,2017,April,15,9,2,5,2,1.0,0,HB,PRT,Groups,TA/TO,0,0,0,H,H,1,Non Refund,0,Transient,120.0,0,0,1,24082
24083,City Hotel,38,2016,October,41,6,0,3,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,109.0,0,0,1,24083
24084,Resort Hotel,168,2016,April,16,12,0,2,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,86.0,0,0,1,24084
24085,City Hotel,20,2016,February,7,8,3,5,1,0.0,0,BB,AGO,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,86.0,0,1,2,24085
24086,City Hotel,19,2015,October,40,3,2,1,3,0.0,0,BB,CMR,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,0,Transient,118.67,0,1,0,24086
24087,Resort Hotel,64,2016,May,22,25,0,2,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,0,Transient-Party,87.5,0,0,0,24087
24088,City Hotel,41,2017,April,16,17,1,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,112.0,0,1,1,24088
24089,City Hotel,10,2016,September,39,18,2,1,2,0.0,1,BB,POL,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,0,Transient,171.33,0,2,0,24089
24090,City Hotel,14,2016,September,39,22,0,1,1,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,184.0,0,2,1,24090
24091,Resort Hotel,123,2016,June,24,5,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,102.43,0,1,1,24091
24092,City Hotel,412,2016,August,35,25,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,62.0,0,0,1,24092
24093,City Hotel,281,2016,October,41,3,1,3,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,F,F,2,No Deposit,0,Transient,168.3,0,0,0,24093
24094,City Hotel,2,2016,June,27,30,0,1,2,0.0,0,SC,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,75.0,0,0,0,24094
24095,Resort Hotel,199,2016,May,19,2,1,1,2,0.0,0,HB,DEU,Groups,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,85.0,0,0,0,24095
24096,Resort Hotel,0,2015,November,47,17,0,4,1,0.0,0,HB,PRT,Corporate,Corporate,0,0,0,A,D,0,No Deposit,0,Transient-Party,42.0,0,0,0,24096
24097,City Hotel,55,2015,September,37,6,2,0,2,0.0,0,BB,FRA,Groups,TA/TO,0,0,0,A,D,0,No Deposit,0,Transient-Party,75.0,0,0,0,24097
24098,City Hotel,34,2017,January,3,18,0,1,1,0.0,0,BB,MEX,Groups,TA/TO,0,0,0,A,A,1,No Deposit,0,Transient-Party,75.0,0,0,0,24098
24099,City Hotel,6,2016,June,26,23,0,1,1,0.0,0,BB,HKG,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,95.0,0,0,1,24099
24100,City Hotel,12,2017,March,10,11,1,1,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,123.0,0,0,1,24100
24101,City Hotel,25,2017,August,31,3,1,3,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,147.0,0,1,0,24101
24102,City Hotel,305,2016,November,45,4,1,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,89.0,0,0,1,24102
24103,City Hotel,37,2016,May,20,8,1,0,1,0.0,0,BB,PRT,Corporate,Corporate,1,0,2,A,A,0,No Deposit,0,Transient-Party,65.0,0,0,0,24103
24104,City Hotel,0,2015,September,37,8,0,1,1,0.0,0,BB,ESP,Corporate,Direct,0,0,0,A,A,0,No Deposit,0,Transient,114.0,0,0,0,24104
24105,City Hotel,15,2016,October,43,19,0,3,1,0.0,0,BB,SVK,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,150.0,0,2,0,24105
24106,Resort Hotel,221,2017,April,18,30,2,5,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient-Party,83.43,0,0,1,24106
24107,City Hotel,20,2016,January,5,29,1,2,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,99.0,0,1,0,24107
24108,Resort Hotel,37,2017,January,3,19,2,5,2,0.0,0,Undefined,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,66.0,0,0,0,24108
24109,Resort Hotel,23,2017,March,13,29,0,2,1,0.0,0,BB,PRT,Corporate,Corporate,1,0,2,A,A,0,No Deposit,0,Transient,35.0,0,0,0,24109
24110,City Hotel,11,2016,June,25,14,0,3,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,D,D,0,No Deposit,0,Transient-Party,90.0,0,0,0,24110
24111,City Hotel,106,2016,April,18,27,0,4,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,85.0,0,0,1,24111
24112,City Hotel,149,2017,August,31,3,2,5,2,0.0,0,BB,SWE,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,80.1,0,1,0,24112
24113,City Hotel,0,2016,February,9,21,0,0,2,0.0,0,SC,PRT,Online TA,TA/TO,1,0,0,A,A,0,No Deposit,0,Transient,0.0,0,1,0,24113
24114,Resort Hotel,6,2017,February,6,8,0,2,1,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,D,0,No Deposit,0,Transient,43.0,0,0,0,24114
24115,City Hotel,0,2016,April,16,15,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,B,0,No Deposit,0,Transient,99.0,0,1,0,24115
24116,City Hotel,4,2016,November,47,14,1,0,1,0.0,0,BB,PRT,Direct,Corporate,1,1,28,E,E,0,No Deposit,0,Transient,106.0,0,0,0,24116
24117,City Hotel,0,2015,November,47,17,0,1,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,A,A,0,No Deposit,0,Transient,89.0,0,0,0,24117
24118,City Hotel,68,2016,February,8,17,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,0,Transient,75.0,0,0,1,24118
24119,City Hotel,2,2017,May,20,17,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,1,0,8,A,A,0,No Deposit,0,Transient,65.0,0,0,0,24119
24120,City Hotel,192,2016,June,26,24,0,2,1,0.0,0,BB,SRB,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,0,Transient-Party,95.0,0,0,0,24120
24121,City Hotel,5,2016,May,21,16,1,3,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,0,Transient,98.32,0,0,0,24121
24122,City Hotel,130,2017,May,21,24,0,4,2,2.0,0,BB,FRA,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,0,Transient,198.0,0,1,1,24122
24123,City Hotel,39,2015,August,33,14,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,101.5,0,0,1,24123
24124,City Hotel,48,2016,June,24,8,0,3,2,0.0,0,BB,ARG,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,98.87,0,2,0,24124
24125,City Hotel,447,2016,September,40,29,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,62.0,0,0,1,24125
24126,Resort Hotel,10,2016,April,15,9,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,0,Transient,75.0,1,0,0,24126
24127,Resort Hotel,58,2016,October,41,3,2,5,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,85.0,1,1,0,24127
24128,City Hotel,183,2016,October,42,11,0,1,1,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,98.1,0,0,1,24128
24129,City Hotel,16,2015,August,32,8,2,2,2,0.0,0,BB,ESP,Groups,TA/TO,0,0,0,A,B,0,No Deposit,0,Transient-Party,62.0,0,0,0,24129
24130,City Hotel,91,2016,April,18,25,1,2,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,85.5,0,0,1,24130
24131,Resort Hotel,15,2016,July,30,17,2,4,2,0.0,0,Undefined,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,0,Transient,243.0,1,1,0,24131
24132,Resort Hotel,19,2016,December,52,24,0,1,1,0.0,0,HB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,0,Transient,65.4,0,0,0,24132
24133,City Hotel,44,2016,February,8,17,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,3,Transient,75.0,0,0,1,24133
24134,Resort Hotel,9,2016,December,53,29,0,3,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,5,No Deposit,0,Transient,78.8,0,1,2,24134
24135,City Hotel,395,2016,March,13,21,1,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,0,Transient,62.8,0,0,1,24135
24136,City Hotel,19,2015,October,41,6,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,1,0,0,A,A,0,No Deposit,0,Transient-Party,90.0,0,0,0,24136
24137,City Hotel,152,2016,August,34,20,2,5,2,0.0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,91.93,0,0,1,24137
24138,Resort Hotel,88,2017,August,32,7,1,3,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,262.0,0,0,1,24138
24139,City Hotel,152,2017,May,18,3,0,3,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,100.0,0,0,1,24139
24140,City Hotel,178,2016,April,18,28,0,3,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,46,Transient,110.0,0,0,1,24140
24141,City Hotel,58,2015,December,53,30,0,2,2,0.0,0,BB,JPN,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,0,Contract,127.0,0,0,0,24141
24142,City Hotel,59,2016,February,6,6,2,2,2,0.0,0,BB,AUT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,62.0,0,0,0,24142
24143,City Hotel,54,2016,October,42,10,1,2,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,118.8,0,0,1,24143
24144,City Hotel,138,2016,May,21,21,2,5,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,117.91,0,1,1,24144
24145,City Hotel,82,2017,April,17,23,2,4,2,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,123.0,0,1,0,24145
24146,City Hotel,6,2017,July,29,18,0,2,1,0.0,0,BB,PRT,Corporate,Corporate,1,1,6,A,A,0,No Deposit,0,Transient,65.0,0,1,0,24146
24147,Resort Hotel,130,2016,June,23,3,0,2,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,0,Transient,122.0,0,2,0,24147
24148,City Hotel,0,2017,March,9,2,0,2,2,2.0,0,BB,ITA,Direct,Direct,0,0,0,A,A,0,No Deposit,0,Transient-Party,113.0,0,0,0,24148
24149,Resort Hotel,33,2016,January,5,28,0,2,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,44.8,0,1,0,24149
24150,City Hotel,40,2015,October,43,19,1,5,2,0.0,0,BB,HRV,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Contract,104.85,0,1,0,24150
24151,Resort Hotel,133,2016,August,36,28,2,4,2,1.0,0,BB,FRA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,0,Transient,143.48,0,1,0,24151
24152,City Hotel,175,2016,July,29,10,4,6,1,2.0,0,BB,NOR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,129.2,0,1,0,24152
24153,City Hotel,289,2017,May,21,24,0,3,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,123.3,0,1,0,24153
24154,City Hotel,2,2016,July,29,13,0,2,2,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,D,A,0,No Deposit,0,Transient,150.0,0,1,0,24154
24155,Resort Hotel,113,2017,May,22,30,0,2,1,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,100.0,0,0,1,24155
24156,City Hotel,68,2016,February,8,17,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,0,Transient,75.0,0,0,1,24156
24157,Resort Hotel,173,2016,July,27,2,4,6,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,0,Transient,79.9,0,2,0,24157
24158,Resort Hotel,17,2017,February,9,26,2,1,2,2.0,0,HB,PRT,Online TA,TA/TO,0,0,0,C,C,1,No Deposit,0,Transient,71.46,0,0,1,24158
24159,City Hotel,46,2016,April,15,4,1,1,2,0.0,0,SC,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,107.1,0,0,1,24159
